Property Name,City,County,State,Google Maps Link,Apartments.com Link,Zillow Link,County Assessor Link,Address (to be filled),Confidence,Source,Notes
Sidney Baker Apartments,Kerrville,Kerr,TX,https://www.google.com/maps/search/Sidney+Baker+Apartments+Kerrville+TX,https://www.apartments.com/search/?q=Sidney+Baker+Apartments+Kerrville+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Sidney+Baker+Apartments+Kerrville+TX%22%7D,https://google.com/search?q=Kerr+county+assessor+TX,,1.0,manual_verification,
WINDSOR PARK APARTMENTS,Victoria,Victoria,TX,https://www.google.com/maps/search/WINDSOR+PARK+APARTMENTS+Victoria+TX,https://www.apartments.com/search/?q=WINDSOR+PARK+APARTMENTS+Victoria+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22WINDSOR+PARK+APARTMENTS+Victoria+TX%22%7D,https://google.com/search?q=Victoria+county+assessor+TX,,1.0,manual_verification,
Pebble Walk Apartments,Houston,Harris,TX,https://www.google.com/maps/search/Pebble+Walk+Apartments+Houston+TX,https://www.apartments.com/search/?q=Pebble+Walk+Apartments+Houston+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Pebble+Walk+Apartments+Houston+TX%22%7D,https://google.com/search?q=Harris+county+assessor+TX,,1.0,manual_verification,
Windbury Apartments,San Antonio,Bexar,TX,https://www.google.com/maps/search/Windbury+Apartments+San+Antonio+TX,https://www.apartments.com/search/?q=Windbury+Apartments+San+Antonio+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Windbury+Apartments+San+Antonio+TX%22%7D,https://google.com/search?q=Bexar+county+assessor+TX,,1.0,manual_verification,
South Gate Apartments,Sherman,Grayson,TX,https://www.google.com/maps/search/South+Gate+Apartments+Sherman+TX,https://www.apartments.com/search/?q=South+Gate+Apartments+Sherman+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22South+Gate+Apartments+Sherman+TX%22%7D,https://google.com/search?q=Grayson+county+assessor+TX,,1.0,manual_verification,
Circle Apartments,Denison,Grayson,TX,https://www.google.com/maps/search/Circle+Apartments+Denison+TX,https://www.apartments.com/search/?q=Circle+Apartments+Denison+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Circle+Apartments+Denison+TX%22%7D,https://google.com/search?q=Grayson+county+assessor+TX,,1.0,manual_verification,
Spurlock Apartments,Nederland,JEFFERSON,TX,https://www.google.com/maps/search/Spurlock+Apartments+Nederland+TX,https://www.apartments.com/search/?q=Spurlock+Apartments+Nederland+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Spurlock+Apartments+Nederland+TX%22%7D,https://google.com/search?q=JEFFERSON+county+assessor+TX,,1.0,manual_verification,
MIDWAY STATION,Midland,Midland,TX,https://www.google.com/maps/search/MIDWAY+STATION+Midland+TX,https://www.apartments.com/search/?q=MIDWAY+STATION+Midland+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22MIDWAY+STATION+Midland+TX%22%7D,https://google.com/search?q=Midland+county+assessor+TX,,1.0,manual_verification,
Riverside Park Apartments,Houston,,TX,https://www.google.com/maps/search/Riverside+Park+Apartments+Houston+TX,https://www.apartments.com/search/?q=Riverside+Park+Apartments+Houston+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Riverside+Park+Apartments+Houston+TX%22%7D,https://google.com/search?q=unknown+county+assessor+TX,,1.0,manual_verification,
Lakeside Commons,Dallas,,TX,https://www.google.com/maps/search/Lakeside+Commons+Dallas+TX,https://www.apartments.com/search/?q=Lakeside+Commons+Dallas+TX,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22:%22Lakeside+Commons+Dallas+TX%22%7D,https://google.com/search?q=unknown+county+assessor+TX,,1.0,manual_verification,
